time,symbol,open,high,low,close,volume,return_1d,return_5d,return_20d,rsi_14,roc_12,macd_line,macd_signal,macd_hist,ema_20,ema_50,ema_200,dist_ema_20,dist_ema_50,dist_ema_200,ema_trend_ratio,atr_14,atr_ratio,bb_upper,bb_lower,bb_pband,bb_width,adx_14,vol_ma_20,rvol,highest_20,lowest_20,dist_to_20d_high,target,forward_max_return,forward_max_drawdown
2022-06-22,NVDA,16.22599983215332,16.66200065612793,16.18000030517578,16.360000610351562,437135000,-0.012435070299371742,0.0330891736047334,-0.03183809231734047,42.94094361973627,-12.606831140850264,-0.7163044496709077,-0.6420954871935853,-0.07420896247732234,17.169352434306216,18.76927439301091,22.404082185429267,-0.04713933312577556,-0.12836264909400855,-0.26977590624124154,0.9147584544183888,1.0341520696875384,0.8124475549300434,20.010353757556683,14.879046533886186,0.2886114613511738,29.414705789190794,20.01376533654834,566507750.0,0.7716311030166842,19.618999481201172,15.32800006866455,0.19920530252225813,0.0,0.059290909362236736,-0.14089243393532178
2022-06-23,NVDA,16.518999099731445,16.584999084472656,15.852999687194824,16.225000381469727,463680000,-0.008251847423307312,-0.01827313111691431,0.0043952615951075025,42.250628039565754,-13.632487023916687,-0.7057431970287666,-0.6548250291606217,-0.05091816786814496,17.079414143559884,18.669498941577924,22.342598784394845,-0.05002594087293563,-0.1309354133047483,-0.27380872126646577,0.9148298086094987,1.012569735943988,0.7997675248548295,20.00693732803732,14.889563068691192,0.26096143160519386,29.32886794474023,19.836649695359206,560264250.0,0.8276094717805036,19.618999481201172,15.32800006866455,0.20918329860919205,0.0,0.06810474676464894,-0.13374422343756998
2022-06-24,NVDA,16.5,17.139999389648438,16.309999465942383,17.125999450683594,472153000,0.05553152838399211,0.09775012082156964,0.008895379429781913,48.232138140063206,-9.5107317331264,-0.6175514842005825,-0.6473703201686138,0.029818835968031365,17.083850839476426,18.608969549778145,22.290692323362894,0.0024671610401661,-0.07969114545153047,-0.23169728412903307,0.9180438924238652,1.0056003982464683,0.7987248876562932,20.009743739965373,14.901856563684532,0.43543304897711277,29.261833498631262,19.014799373192716,544815300.0,0.8666294797521289,19.618999481201172,15.32800006866455,0.14556814845734,0.0,0.011911741186837311,-0.17931795188661132
2022-06-27,NVDA,17.312000274658203,17.329999923706055,16.625999450683594,16.868999481201172,427968000,-0.015006421681986182,0.0622795566519474,-0.05501094393510464,46.74486445945454,-9.5399033008647,-0.5619192112118476,-0.6302800983772606,0.068360887165413,17.063388805354975,18.540735429441796,22.236745130903575,-0.011392187470567819,-0.0901655683833284,-0.24139079789345266,0.9203188767937552,0.9840575464447535,0.7860183317596461,19.966117070310517,14.84728319824417,0.394956416536504,29.407261758857544,18.034535448050963,516384950.0,0.8287770586652458,19.618999481201172,15.32800006866455,0.1630209309724883,0.0,0.01974036358686029,-0.1668148237932732
2022-06-28,NVDA,16.899999618530273,17.20199966430664,15.944999694824219,15.982000350952148,461149000,-0.052581608721815165,-0.03525290560950012,-0.15039074738739588,41.93824802282809,-11.447251475584817,-0.5826868001868455,-0.6207614387391777,0.038074638552332174,16.960399428745184,18.440392877344163,22.174508864436397,-0.05768726626418638,-0.13331562633962415,-0.27926248790184255,0.9197417615533444,1.0035534338045868,0.8061372551677962,19.81125176514146,14.719248456110979,0.24798724945872003,29.492786240591517,17.785365635112367,502523450.0,0.9176666282936647,19.618999481201172,15.32800006866455,0.2275684551610035,0.0,0.12207484487427217,-0.12057314500444018
2022-06-29,NVDA,15.814000129699707,15.819999694824219,15.170000076293945,15.541999816894531,482352000,-0.02753100515552198,-0.05000004663443913,-0.16763072620824793,39.75448080911852,-8.436438290128455,-0.6274171555173034,-0.6220925820948029,-0.005324573422500478,16.825313751426073,18.326730404385355,22.108513749535483,-0.07627280854852973,-0.15194912164061306,-0.2970129067485879,0.9180750401282202,0.9898710652941308,0.7995381645786909,19.674346308514462,14.543153805926455,0.19466157437365506,29.99162700621998,18.206830009513556,493436050.0,0.9775370080884849,19.618999481201172,15.170000076293945,0.26232143304200667,0.0,0.16741727663697933,-0.0956762018554617
2022-06-30,NVDA,15.361000061035156,15.567000389099121,14.862000465393066,15.159000396728516,686070000,-0.024642866084047088,-0.06570107609727205,-0.1725436326829608,37.90430015213158,-3.118808118622528,-0.6858649129487979,-0.6348470482656019,-0.051017864683196024,16.666617241454876,18.202505698202735,22.03936436294039,-0.09045727893578638,-0.16720254628320538,-0.3121852269832711,0.9156221411373917,0.9695231266092683,0.7874630182496445,19.586842078216065,14.314558106415284,0.16016631403577594,31.103635502293418,18.83679095091562,500513850.0,1.3707312994435619,19.618999481201172,14.862000465393066,0.2942145898640441,0.0,0.19691263440082277,-0.0728280270901629
2022-07-01,NVDA,14.89900016784668,15.062999725341797,14.392000198364258,14.52299976348877,577610000,-0.04195531476976555,-0.1519911112160478,-0.25872802854403054,34.99197029732272,-8.29123921651285,-0.7745762843806432,-0.6627928954886102,-0.11178338889203299,16.462463195934294,18.058211347821796,21.96457466543341,-0.11781125396376849,-0.1957675384477795,-0.3387989531003952,0.9116331002471686,0.9550572031631962,0.7803848889514758,19.241999775228262,14.152500480356455,0.07279680409930121,30.481062785304992,19.7715379464923,496961550.0,1.1622830780369227,19.336999893188477,14.392000198364258,0.33147422764557966,1.0,0.24932860946166027,-0.03222471017933582
2022-07-05,NVDA,14.175000190734863,14.970999717712402,14.055000305175781,14.96399974822998,651397000,0.03036562638043261,-0.1129290290804813,-0.2006410097699658,38.51938094407484,-9.457255633874013,-0.8000729294902804,-0.6902489022889442,-0.10982402720133622,16.319752391391027,17.936869716465257,21.89491720357069,-0.08307433903691754,-0.1657407348789598,-0.31655371842237784,0.9098439498843717,0.9522673609755837,0.7838388934411231,18.982748344842385,14.03615195422988,0.1875729735623754,29.96221161703251,20.879073439571783,499592450.0,1.3038567736562072,19.336999893188477,14.055000305175781,0.2922347112091782,1.0,0.21250998429598422,-0.03334667228266387
2022-07-06,NVDA,15.010000228881836,15.319000244140625,14.788999557495117,15.130000114440918,529066000,0.01109331522346313,-0.05330998734839043,-0.19461297350444307,39.842604424900834,-3.0190354642635286,-0.7976890988158694,-0.7117369415943293,-0.08595215722154004,16.206442650729112,17.826796398738814,21.82760459571865,-0.06642065501275815,-0.15127767345166598,-0.3068410210523568,0.9091057242273074,0.9221054556662925,0.7646537921304414,18.63480571745717,14.018494663249621,0.24077785013603287,28.274698118632426,21.405615735952974,504925450.0,1.0478101272177902,19.18000030517578,14.055000305175781,0.26768011633185973,0.0,0.19920680518791262,-0.04395240957191495
