event_id,trade_id,signal_id,event_time,event_type,market,symbol,message
7a4c82db522e374cc339,202c695aaa2ff0675ce1,f1f2c1c81bfedc4ecdb9,2026-05-13T07:05:14.939584+00:00,PAPER_OPEN,forex,AUDCHF,Opened at 0.56517
9c10bfed1c84d4590107,227bd631eedb2723115f,09081e6cc70306295f22,2026-05-13T08:48:56.354264+00:00,PAPER_CLOSED,forex,GBPAUD,TP1
4b89516fd473d5ecac1c,0cb1163c33ecd0c2f8ae,ab0b183541cd4db640c2,2026-05-13T09:27:35.998940+00:00,PAPER_OPEN,forex,GBPAUD,Opened at 1.86722
c99b0356648eaf8ec50e,f0556897b991383e2726,32a164d3ac3e7c919478,2026-05-13T09:36:41.319588+00:00,PAPER_OPEN,forex,GBPAUD,Opened at 1.86693
6468162ba1696805a4a7,7f3960dee3740257d230,0288af1c201aeece1612,2026-05-13T09:45:12.964852+00:00,PAPER_OPEN,forex,GBPAUD,Opened at 1.86614
cc1acaeccbed9686ba5d,734cad48fcfeb522051a,f681edc88294a0fe71c8,2026-05-13T09:55:13.132240+00:00,PAPER_OPEN,forex,GBPAUD,Opened at 1.86575
e26c6ccdf088ec809a27,b6b2f71a9bfa2a18d6a7,588949706a4ffe3ffdca,2026-05-13T10:02:15.265109+00:00,PAPER_OPEN,forex,GBPAUD,Opened at 1.86589
ee8553ef1a879fd30e51,57a45ae18188a3881a28,5c31b399214e359ae5b9,2026-05-13T10:07:07.156032+00:00,PAPER_OPEN,forex,GBPAUD,Opened at 1.86591
6adf0d419b40e873700f,202c695aaa2ff0675ce1,f1f2c1c81bfedc4ecdb9,2026-05-13T10:07:09.128264+00:00,PAPER_CLOSED,forex,AUDCHF,TP1
279661f3059a395110e0,e18186d5866b8e89ba79,40d14682665243b5f18b,2026-05-13T10:12:07.172004+00:00,PAPER_OPEN,forex,GBPAUD,Opened at 1.86516
c72eabda42f8127cf2b0,516be7cdf8bda5e3c32a,d69bdbe6443e334051ab,2026-05-13T10:20:34.282020+00:00,PAPER_OPEN,forex,GBPAUD,Opened at 1.86448
6efbf18320ad4f77e334,9d05eb624545ed58ead7,363c483d01b01b5a12ed,2026-05-13T10:28:49.278495+00:00,PAPER_OPEN,forex,GBPAUD,Opened at 1.86484
68b68f55664bc1d86972,7ee5f7b2ee3c2b5ffec4,e612ef85b61dfd24f54a,2026-05-13T14:33:30.203071+00:00,PAPER_OPEN,forex,AUDCAD,Opened at 0.99365
a7ab85d18532f579f7fb,6f934b3cd84ead6af9b2,d0454cba54882f422e9c,2026-05-13T14:33:30.476570+00:00,PAPER_OPEN,forex,AUDNZD,Opened at 1.22315
f11d10ebf36dc2d8315f,7e2a28be760ce7e66b91,dc45d62e29c288e4094c,2026-05-13T14:42:26.554948+00:00,PAPER_OPEN,forex,GBPAUD,Opened at 1.86173
d6eb3ba0f524dffd65a9,6f934b3cd84ead6af9b2,d0454cba54882f422e9c,2026-05-14T01:42:10.250873+00:00,PAPER_CLOSED,forex,AUDNZD,SL
81d65d2b822716c26622,a955270824ffc6e1b8f9,22c5851867bb73f29ccc,2026-05-14T03:03:55.049511+00:00,PAPER_OPEN,forex,AUDCHF,Opened at 0.56687
e43ac45488a040d89e5c,de2001facc53dd34ec1d,6ea3cf0db3284d85d1d5,2026-05-14T03:03:55.161802+00:00,PAPER_OPEN,forex,AUDJPY,Opened at 114.52600
